property_type,bhk,area,locality,city,price_in_crore,new_resale,age_of_property,bathrooms,carpet_area,floor,balconies,furnishing_type,facing,amenities_score,furnishing_score,study_room,servant_room,pooja_room
Flat,2,1020.0,Malkajgiri,Hyderabad,0.36,Resale,Moderately New Property,2,904.84,2.0,2.0,Furnished,East,0,0,0,0,0
Flat,2,1431.0,Kollur,Hyderabad,0.5,New,New Property,2,1269.44,2.0,1.0,Unfurnished,NorthEast,32,65,0,0,0
Flat,2,1000.0,Ecil Main Road,Hyderabad,0.56,Resale,Old Property,2,887.1,1.0,1.0,Unfurnished,West,27,6,0,0,1
Flat,4,2011.0,Khajiguda,Hyderabad,3.21,New,New Property,4,1783.95,4.0,1.0,Unfurnished,East,30,0,0,0,0
House,5,4000.0,Kompally,Hyderabad,4.5,New,New Property,5,3548.39,2.0,1.0,Unfurnished,East,31,6,0,0,1
House,3,3220.0,Ibrahimpatnam,Hyderabad,1.5,New,New Property,3,2856.45,2.0,1.0,Unfurnished,East,31,6,0,0,1
Flat,4,3141.0,Manikonda,Hyderabad,3.0,Resale,New Property,5,2786.37,34.0,1.0,Semi-Furnished,East,88,21,0,1,0
House,4,3200.0,Kapra,Hyderabad,2.29,New,New Property,4,2838.71,2.0,1.0,Semi-Furnished,East,0,0,0,0,0
Flat,3,2060.0,Kondapur,Hyderabad,2.0,Resale,New Property,3,1827.42,14.0,2.0,Unfurnished,West,47,0,0,0,0
Flat,2,1107.0,Aminpur,Hyderabad,0.56,New,New Property,2,982.02,2.0,1.0,Unfurnished,East,0,0,0,0,0
Flat,2,1127.0,Isnapur,Hyderabad,0.47,New,New Property,2,999.76,1.0,1.0,Unfurnished,East,45,0,0,0,0
House,5,3000.0,Yapral,Hyderabad,2.6,Resale,Moderately New Property,5,2661.29,2.0,1.0,Unfurnished,West,4,0,0,0,0
Flat,2,1260.0,Nagole,Hyderabad,0.74,New,New Property,2,1117.74,1.0,1.0,Unfurnished,West,9,0,0,0,0
Flat,2,1100.0,Aminpur,Hyderabad,0.56,New,New Property,2,975.81,2.0,1.0,Semi-Furnished,East,9,0,0,0,0
Flat,2,1117.0,Kompally,Hyderabad,0.54,New,New Property,2,990.89,5.0,1.0,Unfurnished,East,31,21,0,0,0
